SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC12076288,0.0221,0.5524,0,0.3492,0,0,0,0.0762,0,Abkhazians
GRC12076300,0.0228,0.5162,0.0069,0.3522,0,0,0,0.0921,0.0098,Abkhazians
GRC12076312,0.0245,0.4834,0.0029,0.2789,0,0.0054,4.00E-04,0.2045,0,Abkhazians
GRC12076324,0.038,0.5124,0,0.3459,0,0,0,0.1037,0,Abkhazians
GRC12076232,0.3518,0.2379,0.001,0.2553,0.0316,0.0145,0.0172,0.0907,0,Altaians
GRC12076245,0.319,0.0578,0,0.2316,0.05,0.0095,0,0.332,0,Altaians
GRC12076244,0.6259,0.0249,0,0.1986,0.0306,1.00E-04,0.0346,0.0852,0,Altaians
GRC12076256,0.6317,0,0,0.2006,0.0368,0.0236,0,0.1073,0,Altaians
GRC12076268,0.6012,8.00E-04,0,0.202,0.0417,0,0.0073,0.1469,0,Altaians
GRC12076280,0.6155,0.0079,0,0.1832,0.0532,0.0022,0.0186,0.1193,0,Altaians
GRC12076292,0.5909,0,0,0.2084,0.0225,0.0184,0,0.1598,0,Altaians
GRC12076304,0.6671,0.0032,0,0.1723,0.0335,0.0132,0.0178,0.0929,0,Altaians
GRC12076233,0.4715,0,0,0.2612,0.0262,0,0,0.241,0,Altaians
GRC12076257,0.4954,0,0,0.2406,0.0538,0,0,0.2102,0,Altaians
GRC12076269,0.5209,0,0,0.2328,0.0442,0.0095,0,0.1925,0,Altaians
GRC12076281,0.4915,0,0.0048,0.2559,0.0451,7.00E-04,0,0.2019,0,Altaians
GRC12076293,0.5146,0,0,0.2349,0.0269,0,0,0.2235,0,Altaians
GRC12076305,0.4922,0.0054,0,0.2554,0.0494,0.006,0,0.1916,0,Altaians
GRC12076317,0.5135,0,0,0.2386,0.0511,0.006,0,0.1907,0,Altaians
GRC12084554,0.1434,0,0.0581,0,0.0014,0.016,0.1804,0.02,0.5807,Ambilobe_Madagascar
GRC12084555,0.1026,0.0152,0.046,0.008,0,8.00E-04,0.1471,4.00E-04,0.6798,Ambilobe_Madagascar
GRC12084556,0.2015,0.0137,0.0222,0,0,0.0035,0.2256,0,0.5334,Ambilobe_Madagascar
GRC12084558,0.1749,0.0059,0.0373,0,0,0.013,0.2481,0.0064,0.5143,Ambilobe_Madagascar
GRC12084551,0.0619,0.0107,0.0768,0.0104,0,0,0.0782,0.0147,0.7473,Andilambe_Madagascar
GRC12084552,0.0896,0.0232,0.0685,0,0,0.0061,0.1225,0,0.6902,Andilambe_Madagascar
GRC12084553,0.1974,0,0.0171,0,0,0.0014,0.2332,0,0.5508,Andilambe_Madagascar
GRC12084544,0.2497,0,0.0037,0,0.0031,5.00E-04,0.3538,0.0142,0.3749,Antananarivo_Madagascar
GRC12084545,0.2075,0.0154,0.0374,0,0,0.0111,0.2848,0,0.4438,Antananarivo_Madagascar
GRC12084546,0.1907,0.0044,0.0314,0,0.0036,0,0.2664,0,0.5034,Antananarivo_Madagascar
GRC12084574,0,0.3686,0.0034,0.1753,0.001,0.0061,0.0074,0.4262,0.0121,Bermudian
GRC12084587,0,0.2612,0.0195,0.1225,0.0218,0,0.0211,0.3357,0.2182,Bermudian
GRC12084576,0.0029,0.138,0.021,0.0529,0.0925,0,0,0.2165,0.4761,Bermudian
GRC12084577,0.001,0.1546,0.0134,0.1115,0.0432,0,0.0113,0.2691,0.396,Bermudian
GRC12084578,0,0.2359,0.025,0.1056,0.0112,0.0057,0.0042,0.2362,0.3762,Bermudian
GRC12084588,0.0121,0.1521,0.0369,0.058,0.0375,0.0051,1.00E-04,0.2334,0.4647,Bermudian
